,timestamp,level,site,lat,lon,ref
60,2022-09-15 11:00:00,56.7,ANX,69.32606700,16.13484800,CD (Chart Datum)
61,2022-09-15 11:10:00,57.8,ANX,69.32606700,16.13484800,CD (Chart Datum)
62,2022-09-15 11:20:00,59.5,ANX,69.32606700,16.13484800,CD (Chart Datum)
63,2022-09-15 11:30:00,61.7,ANX,69.32606700,16.13484800,CD (Chart Datum)
64,2022-09-15 11:40:00,64.3,ANX,69.32606700,16.13484800,CD (Chart Datum)
65,2022-09-15 11:50:00,67.4,ANX,69.32606700,16.13484800,CD (Chart Datum)
66,2022-09-15 12:00:00,71.0,ANX,69.32606700,16.13484800,CD (Chart Datum)
67,2022-09-15 12:10:00,75.0,ANX,69.32606700,16.13484800,CD (Chart Datum)
68,2022-09-15 12:20:00,79.5,ANX,69.32606700,16.13484800,CD (Chart Datum)
69,2022-09-15 12:30:00,84.4,ANX,69.32606700,16.13484800,CD (Chart Datum)
70,2022-09-15 12:40:00,89.7,ANX,69.32606700,16.13484800,CD (Chart Datum)
71,2022-09-15 12:50:00,95.1,ANX,69.32606700,16.13484800,CD (Chart Datum)
72,2022-09-15 13:00:00,100.8,ANX,69.32606700,16.13484800,CD (Chart Datum)
73,2022-09-15 13:10:00,106.5,ANX,69.32606700,16.13484800,CD (Chart Datum)
74,2022-09-15 13:20:00,112.6,ANX,69.32606700,16.13484800,CD (Chart Datum)
75,2022-09-15 13:30:00,118.8,ANX,69.32606700,16.13484800,CD (Chart Datum)
76,2022-09-15 13:40:00,125.2,ANX,69.32606700,16.13484800,CD (Chart Datum)
77,2022-09-15 13:50:00,131.5,ANX,69.32606700,16.13484800,CD (Chart Datum)
78,2022-09-15 14:00:00,137.8,ANX,69.32606700,16.13484800,CD (Chart Datum)
79,2022-09-15 14:10:00,144.1,ANX,69.32606700,16.13484800,CD (Chart Datum)
80,2022-09-15 14:20:00,150.3,ANX,69.32606700,16.13484800,CD (Chart Datum)
81,2022-09-15 14:30:00,156.3,ANX,69.32606700,16.13484800,CD (Chart Datum)
82,2022-09-15 14:40:00,162.2,ANX,69.32606700,16.13484800,CD (Chart Datum)
